page,time
22,17
23,13
24,17
25,9
26,12

27,31
28,25
29,34
30,28
31,27

32,23
33,21
34,25
35,14
36,27

37,14
38,16
39,22
40,15
41,7

42,28
43,17
44,12
45,18
46,16

47,23
48,25
49,27
50,21
51,27

52,26
53,10
54,12
55,20
56,28

57,15
58,22
59,1
6, 12
61,23
62,25

63,26
64,25
65,29
66,12
67,18

68,12
69,21
70,19
71,15
72,21

73,18
74,17
75,13
76,11
77,15

78,18
79,17
80,18
81,15
82,25

83,17
84,26
85,24
86,13
87,19

88,21
89,16
90,18
91,15
92,16

93,19
94,17
95,18
96,22
97,21

98,13
99,19
100,15
101,13
102,10

103,17
104,18
105,9
106,13
107,15

108,11
109,24
110,15
111,11
112,4
113,18

114,28
115,17
116,23
117,11
118,11

119,16
120,16
121,14
122,12
123,15

124,14
125,10
126,8
127,16
128,18

129,21
130,12
131,12
132,11
133,15

134,15
135,13
136,9
137,17
138,12

139,21
140,22
141,20
142,8
143,17
144,11

145,21
146,17
147,14
148,12
149,14

150,11
151,15
152,17
153,13
154,13

155,22
156,13
157,12
158,6
159,11

160,8
161,8
162,15
163,18
164,13

165,7
166,9
167,15
168,14
169,15

170,12
171,14
172,10
173,9
174,12

175,14
176,12
177,10
178,10
179,12

180,17
181,16
182,9
183,9
184,15

185,18
186,11
187,12
188,18
189,14

191,19
192,17
193,13
194,10
195,10

196,19
197,18
198,10
199,11
200,15

201,16
202,12
203,9
204,11
205,8

206,12
207,15
208,11
209,15
210,14

211,19
212,19
213,16
214,24
215,13

216,18
217,15
218,11
219,16
220,16

221,4
222,18
223,17
224,22
225,15
226,7

227,11
228,12
229,13
230,11
231,14

232,9
233,11
234,12
235,11
236,10

237,15
238,13
239,14
240,12
241,11

242,9
243,10
244,11
245,18
246,18

247,11
248,17
249,16
250,10
251,13

252,17
253,9
254,8
255,11
256,11

257,10
258,14
259,11
260,10
261,11

262,8
263,12
264,10
265,14
266,13

267,11
268,12
269,12
270,7
271,8

272,12
273,8
274,13
275,12
276,13

277,14
278,8
279,9
280,12
281,16

282,17
283,6
284,7
285,7
286,5

287,6
288,6
289,6
290,8
291,9

292,15
293,4
295,12
296,9
297,10
298,9

299,11
300,7
301,8
302,10
303,9

304,13
305,14
306,8
307,12
308,7

309,5
310,5
311,9
312,7
313,7

314,13
315,10
316,8
317,10
318,11

319,10
320,12
321,12
322,12
323,13

324,13
325,13
326,12
327,8
328,15

329,2
330,11
331,8
332,10
333,7
334,11

335,10
336,13
337,16
338,10
339,10

340,13
341,12
342,16
343,20
344,10

345,13
346,12
347,13
348,13
349,9

350,7
351,11
352,8
353,11
354,11

355,15
356,10
357,14
358,12
359,15

360,16
361,5
362,9
363,11
364,7

365,8
366,11
367,6
368,5
369,7

370,10
371,11
372,9
373,10
374,15

375,15
376,12
377,10
378,9
379,10

380,14
381,14
382,14
383,9
384,7

385,7
386,9
387,3
388,7
389,6

390,8
391,7
392,8
393,8
394,7

395,12
396,10
397,12
398,11
399,9

400,8
401,3
402,13
403,6
404,13
405,13

406,10
407,9
408,4
409,12
410,6

411,10
412,9
413,13
414,10
415,13

416,10
417,8
418,14
419,13
420,11


421,9
422,8
423,5
424,8
425,8

426,11
427,11
428,6
429,6
430,6

431,10
432,10
433,16
434,13
435,10

436, 15
437, 11
438, 8
439, 9
440, 4

441,5
442,8
443,9
444,9
445,6

446,11
447,13
448,8
449,11
450,8

451,14
452,17
453,15
454,12
455,12

456,13
457,5
458,11
459,5
460,8

461,9
462,13
463,18
464,15
465,11

466,14
467,17
468,13
469,8
470,9

471,16
472,8
473,14
474,10
475,15

476,17
477,12
478,15
479,7
480,8

481,9
482,11
483,14
484,11
485,10

486,14
487,16
488,16
489,11
490,14

491,14
492,1
493,11
494,15
495,9
496,10

497,12
498,9
499,8
500,4
501,17

502,15
503,9
504,12
505,10
506,10

507,15
508,15
509,12
510,10
511,9

512,13
513,9
514,8
515,10
516,9

517,9
518,13
519,13
520,9
521,6

522,18
523,8
524,14
525,13
526,12
527,2

528,20
529,16
530,11
531,14
532,15

533,12
534,7
535,5
536,10
537,8

538,9
539,10
540,12
541,10
542,15

543,7
544,8
545,5
546,11
547,7

548,5
549,6
550,2
551,12
552,9
553,13

554,12
555,11
556,8
557,9
558,12

559,11
560,6
561,7
562,3
563,7

564,7
565,10
566,10
567,10
568,2
569,10

570,14
571,8
572,4
573,11
574,7

575,16
576,12
577,13
578,12
579,11

580,16
581,14
582,11
583,7
584,7

585,11
586,7
587,7
588,5
589,9

590,6
591,8
592,11
593,8
594,7
595,2

596,8
597,8
598,8
599,12
600,15

601,15
602,8
603,12
604,8
605,3
607,7
608,8

609,7
610,12
611,8
612,9
613,8
614,13

615,7
616,9
617,8
618,6
619,7
620,9

621,10
622,7
623,8
624,11
625,5
626,8

627,11
628,8
629,8
630,9
631,11
632,10

633,13
634,8
635,10
636,10
637,7
638,8

639,7
640,7
641,14
642,8
643,8
644,14

645,6
646,11
647,18
648,14
649,14
650,9

651,10
652,5
653,15
654,7
655,13
656,3
657,3

658,10
659,6
660,12
661,8
662,5
663,14

664,14
665,10
666,8
667,8
668,12
669,11

670,7
671,12
672,8
673,6
674,10
675,9

676,13
677,14
678,9
679,11
680,9
681,10

682,13
683,13
684,8
685,10
686,12
687,7

688,11
689,12
690,15
691,12
692,6
693,10

694,12
695,5
696,9
697,7
698,9
699,6

700,9
701,6
702,10
703,7
704,6
705,8

706,15
707,10
708,5
709,12
710,11
711,8

712,12
713,10
714,8
715,10
716,11
717,7

718,11
719,5
720,5
721,6
722,7
723,4

724,4
725,8
726,8
727,8
728,6
729,6

730,10
731,8,
732,7
733,9
734,7
735,13

736,11
737,8
738,6
739,5
740,5
741,9

742,12
743,11
744,4
745,2
746,9
747,12
748,16

749,12
750,6
751,10
752,6
753,11
754,5

755,13
756,12
757,10
758,6
759,12
760,7

761,8
762,6
763,6
764,8
765,7
766,4

767,2
768,5
769,6
770,5
771,7
772,7

773,8
774,10
775,7
776,6
777,12
778,15

779,7
780,6
781,7
782,6
783,6
785,13

786,5
787,10
788,11
789,12
790,7
791,8

792,8
793,8
794,7
795,8
796,4
797,8

798,8
799,7
800,5
801,3
802,2
803,7

804,5
805,11
806,8
807,8
808,7
809,10

810,7
811,9
812,6
813,9
814,8
815,10

816,11
817,6
818,14
819,10
820,5
821,8

822,4
823,7
824,9
825,8
826,6
827,6

828,8
829,8
830,4
831,6
832,6
833,4

834,10
835,4
836,7
837,8
838,4
839,6
840,7

841,12
842,7
843,6
844,6
845,5
846,4
847,6

848,9
849,7
850,6
851,6
852,7
853,12
854,7
